TYPE,CONTENT,DESCRIPTION,IS_COLLAPSED,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
meta,view_style=board,,,,,,,,,,,,,
,,,,,,,,,,,,,,
section,EXPLORE,,False,,,,,,,,,,,
task,House Rules & Links,\\\filesrv\Projects\Projektai\PORTFOLIO,,4,1,Arvydas (43613934),,,,Europe/Vilnius,,,,
note,Ikeliau atnaujinta portfolio xls,,,,,Arvydas (43613934),,2024-07-23T08:18:37.819000Z,,,,,,
task,"*PerMed* kvietimas. ""... Kidney diseases"" (CARMEN2026)",[EP PerMed Joint Transnational Call (JTC) 2026 - European Partnership for Personalised Medicine - EP PerMed](https://www.eppermed.eu/funding-projects/calls/jtc2026/),,1,1,Arvydas (43613934),Arvydas (43613934),today,en,Europe/Vilnius,,,2025-12-02,en
note,"2025 m. lapkričio 25 d. atsidarys Europos partnerystės personalizuotai medicinai *EP PerMed* kvietimas „[Personalised Medicine for CARdiovascular, MEtabolic, and kidNey diseases” (CARMEN2026](https://www.eppermed.eu/funding-projects/calls/jtc2026/ ""https://www.eppermed.eu/funding-projects/calls/jtc2026/""))“

Šiuo tarptautiniu kvietimu finansuojami moksliniai tyrimai siūlantys inovatyvias personalizuotos medicinos strategijas pacientams, sergantiems širdies ir kraujagyslių, medžiagų apykaitos ar inkstų ligomis. Tyrimų projektai gali būti orientuoti į vieną konkrečią ligą arba nagrinėti šias būkles kartu.

Paraiškose turėtų būti atsižvelgiama į vieną ar kelis iš šių aspektų:

- inovatyvūs personalizuoti terapiniai metodai;
- gydymo atsako stebėsena siekiant pritaikyti individualius gydymo kelius;
- ankstyvas ligos rizikos prognozavimas ir ligos progresavimo ar gretutinių ligų prevencija.

Kvietime dalyvaujančios šalys: Kvietime dalyvaujančios šalys: Austrija*, Belgija, Čekija, Danija, Estija, Suomija, Prancūzija, Vokietija*, Graikija, Vengrija, Islandija, Airija, Izraelis, Italija*, Latvija*, Lietuva, Liuksemburgas, Norvegija, Lenkija, Portugalija*, Rumunija, Slovakija, Pietų Afrika, Ispanija, Švedija, Nyderlandai ir Turkija*.

**sprendimas dėl dalyvavimo dar nepatvirtintas.*

Kvietimas įgyvendinamas dviem stadijom – **iki 2026 vasario 10** teikiama trumpoji paraiška, o patekus į antrą etapą iki 2026 birželio 6 teikiama ilgoji paraiška.

2025 gruodžio 16 dieną organizuojama **informacinė diena** pristatyti kvietimui ir jo sąlygoms. Registracija į info dieną: [https://registration.dlr-pt.de/en/ep-permed-jtc2026-information-day/registration](https://registration.dlr-pt.de/en/ep-permed-jtc2026-information-day/registration ""https://registration.dlr-pt.de/en/ep-permed-jtc2026-information-day/registration"")

Detalesnis kvietimo temų ir sąlygų aprašas pateikiamas čia: [https://www.eppermed.eu/funding-projects/calls/jtc2026/](https://www.eppermed.eu/funding-projects/calls/jtc2026/ ""https://www.eppermed.eu/funding-projects/calls/jtc2026/"")",,,,,Danutė (43831156),,2025-11-03T14:45:12.121000Z,,,,,,
note,"Kvietimas, kuriuo domimės bus paskelbtas lapkričio 25 dieną: [EP PerMed Joint Transnational Call (JTC) 2026 - European Partnership for Personalised Medicine - EP PerMed](https://www.eppermed.eu/funding-projects/calls/jtc2026/)",,,,,Danutė (43831156),,2025-11-17T14:05:48.603000Z,,,,,,
note,Info lietuvių kalba: [https://lmt.lrv.lt/lt/naujienos/planuojamas-ep-permed-programos-kvietimas-personalizuotos-medicinos-sirdies-ir-kraujagysliu-metaboliniu-ir-inkstu-ligu-tyrimu-projektams-fJ4/](https://lmt.lrv.lt/lt/naujienos/planuojamas-ep-permed-programos-kvietimas-personalizuotos-medicinos-sirdies-ir-kraujagysliu-metaboliniu-ir-inkstu-ligu-tyrimu-projektams-fJ4/),,,,,Danutė (43831156),,2025-11-17T14:07:22.311000Z,,,,,,
note,"1) Prie kveitimo jau yra pateikta detalesnė info. Gali dalyvauti tiek vokiečiai, tiek olandai, tiek ispanai. Finansavimas skirstomas pagal tos šalies regionus, todėl svarbu tiksliai įvardinti įmones, kad būtų galima tiksliau pasakyti į kokias lėšas pretenduoja potencialus partneris. 2) Lietuvos įmonės turėtų atsiskaityti LMT 3) Lietuvos vykdančiosios institucijos tarptautinio mokslo projekto vykdytojams **skiriama iki 150 tūkst. eurų**, išskyrus šiuos atvejus:

- kai vykdančioji institucija koordinuoja projektą – skiriama iki 200 tūkst. eurų;
- kai projekte dalyvauja dvi vykdančiosios institucijos – skiriama iki 200 tūkst. eurų;
- kai projekte dalyvauja dvi vykdančiosios institucijos, iš kurių viena koordinuoja projektą – tuomet skiriama iki 250 tūkst. eurų.",,,,,Danutė (43831156),,2025-11-26T07:36:29.830000Z,,,,,,
note,gb nauja imone?,,,,,Arvydas (43613934),,2025-11-26T07:59:33.569000Z,,,,,,
note,"1) Taip, g.b. nauja įmonė. 2) Aptartas šis kvietimas su Erika (VU). Šiuo kvietimu taip pat domisi Dovilė Karčiauskaitė (interesų kryptis – širdies ir kraujagyslių metabolinės ligos). Apjungti? 3) Vertingas būtų aptarimas su LMT atstove Živile Ružele, galiu paorganizuoti, jei rimtai galvotume, ypač, jei galvotume traukti VU+VULSK. 4) Svarbu apgalvoti koncepciją.",,,,,Danutė (43831156),,2025-12-03T07:25:16.251000Z,,,,,,
note,"parašiau [.j.roelofs@amsterdamumc.nl](mailto:.j.roelofs@amsterdamumc.nl)
Would you be interested to discuss? We could focus on the pathomics and multimodal integrations. In Lithuania, we have opportunities to integrate with the National Data Agency phenotypes (see unpublished slides 13-14 attached).",,,,,Arvydas (43613934),,2025-12-08T07:18:49.225000Z,,,,,,
task,Tematinės grupės - Rare Disease Phenotype Data-Driven Screening,"**Pradedama 1-a atranka tematinėms grupėms steigti**. Tematinė grupė vienija skirtingų disciplinų Fakulteto, kitų Universiteto padalinių ir (ar) išorės institucijų mokslininkus, kurie kryptingai ir nuosekliai vykdo mokslinę veiklą pasirinkta tema. Numatoma, kad tematinės grupės Fakultete veiks kaip  funkciniai vienetai.",,2,1,Danutė (43831156),,today,en,Europe/Vilnius,,,,
note,"Info pateikimo terminas - lapkričio 22 d. 18 val. Užpildžiau failą, jis patalpintas direktoriaus korekcijoms čia: [\\\filesrv\Projects\Projektai\1_TEIKIAM PARAISKAS\118_VU tematinės grupės_Rare disease_Rimante Cerkauskiene](file://filesrv/Projects/Projektai/1_TEIKIAM%20PARAISKAS/118_VU%20tematinės%20grupės_Rare%20disease_Rimante%20Cerkauskiene)",,,,,Danutė (43831156),,2025-11-21T09:37:34.893000Z,,,,,,
note,pateikta VU MF,,,,,Arvydas (43613934),,2025-11-26T08:00:23.945000Z,,,,,,
task,LT_TAIWAN Multimodal Learning,March 29,,1,1,Arvydas (43613934),,,,Europe/Vilnius,,,,
note,Ar gavote oficialų ekspertų paraiškos įvertinimą su pastabomis?,,,,,Danutė (43831156),,2024-10-01T13:00:09.271000Z,,,,,,
note,"1) 2025 m. pradžioje bus skelbiamas toks pats LT-TW kvietimas. 2) Taivanas pateikė LMT pasiūlymus kokiems vertinimo kriterijams turėtų būti suteikiamas didesnis svoris. Tematika derinama, bet tikėtina, kad išliks biomedicina ir lazeriai. 3) VU centriniai rūmai gavo LMT kvietimą siūlyti savo kandidatus vykti į Taivanyje organizuojamą biomedicinos konferenciją ir pateikė savo atstovus (datos, kada delegacijos vyko į Prancūziją ir Taivaną labai artimos arba galėjo persidengti). 4) Ekspertų vertinimai t.b. sistemoje ([Lmtpais: išorinis portalas](https://projektai.lmt.lt/#login)).",,,,,Danutė (43831156),,2024-10-01T13:30:28.849000Z,,,,,,
note,aciu,,,,,Arvydas (43613934),,2024-10-09T05:18:59.897000Z,,,,,,
note,Artimiausiu metu bus skelbiamas naujas LT-TV kvietimas. Reikai apsispręsti ar bandom koreguoti seną paraišką ir ją pakartotinai teikti.,,,,,Danutė (43831156),,2025-12-03T08:58:38.804000Z,,,,,,
